video no,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y,25x,25y,26x,26y,27x,27y,28x,28y,29x,29y,30x,30y,31x,31y,32x,32y,33x,33y,34x,34y,35x,35y,36x,36y,37x,37y,38x,38y,39x,39y,40x,40y,41x,41y,42x,42y,43x,43y,44x,44y,45x,45y,46x,46y,47x,47y,48x,48y,49x,49y,50x,50y,51x,51y,52x,52y,53x,53y,54x,54y,55x,55y,56x,56y,57x,57y,58x,58y,59x,59y,60x,60y,61x,61y,62x,62y,63x,63y,64x,64y,65x,65y,polarity
1,4.56879566246,4.3471004039,4.08343760886,4.30276055803,3.66516988566,4.37493001569,3.27307523467,4.36824247856,2.88800102784,4.28411790749,2.85531309931,4.05109200056,2.88947805645,3.84780792012,3.11768739863,3.84538405211,3.2961926855,3.64003323779,3.4663817997,3.44346611901,3.55827857214,3.16527460697,3.53830403566,2.91230334029,3.55954406944,2.6768662925,3.32611681956,3.01030677883,3.60995340557,3.15587466163,4.00769645146,3.31983941701,4.42238873505,3.59778517344,5.96225750354,4.21955893705,6.21598201124,4.23839234364,6.50568651385,4.20216442333,6.52243769047,4.29378980005,6.46940431275,4.31250057256,6.40440745835,4.35135156358,6.41744718082,4.29588710486,6.35061242157,4.25361451117,6.08883872478,4.17980440387,5.83291642601,4.26476390028,6.11560303696,4.76535378676,6.08877384022,4.88151328322,5.98519295981,4.93564782668,5.75430636301,4.95718074724,4.8694395174,4.44823790735,5.16118205965,4.55825129488,5.27487185362,4.58643633228,5.30823013876,4.46799971931,5.19639571675,4.41088542588,5.59373068791,4.33313680711,5.85623701792,4.43555482999,5.83441986149,4.45256996203,5.72234734752,4.41863511542,5.71506592335,4.44633686358,5.64597682971,4.42687102872,5.62462247644,4.26765315647,5.74205877173,4.3336655842,5.69058374535,4.32289497745,5.55961257961,4.23535253847,5.54457001373,4.32141420524,5.59793848636,4.36932763938,4.16639906431,4.21813554897,4.63125068777,4.42599635586,4.89027841834,4.56872648493,4.99307358427,4.48438081592,5.03340610235,4.38886866306,4.93185227652,4.28708627428,4.63962009103,3.88626223176,4.56107590386,3.91918197559,4.585488709,3.99044766491,4.53999643567,4.07031668008,4.53799453916,4.10980373323,4.41070628835,4.14763881163,4.59664102613,4.27442413004,4.7009326078,4.34231742355,4.76160502639,4.20571671625,4.74907669515,4.03763114138,4.66357092852,4.12682170631,4.61571615798,4.08562355685,0.0
1,26.6206400106,10.276460953,26.4440353511,12.2796395722,26.4323889658,14.1061352201,26.4314217646,16.0351309233,26.703916427,18.1410356689,27.6209768397,19.7893140142,28.6319129762,20.9253718352,2.78266425193,2.68075375183,2.85803456626,2.69646137647,2.99415626703,2.65167040414,3.03761726425,2.55316354114,2.94636614261,2.40878805357,2.80087758644,2.15887342456,2.73933473717,1.88743990064,2.93931080742,1.8291426166,3.11960268367,1.93532432062,3.18093721754,2.01519650386,4.23210756755,2.65640681657,4.25540533631,2.82897637753,4.24460441816,2.9856530766,4.12433867323,3.22840500403,4.08538804524,3.23050432473,3.89447674952,3.35709048093,3.84163924522,3.43507168981,3.86418437758,3.33124228198,3.61490167561,3.1967497618,3.52148370117,3.12719979072,3.90291792914,3.53589343347,3.86144201863,3.77712412646,3.99137488171,3.95064894905,3.82273159353,4.04672567647,3.68367907471,3.39203953447,3.55759710692,3.52697434391,3.5957837834,3.57707705061,3.54008522353,3.58984758029,3.41465767035,3.46638416928,4.00338839536,2.72340763613,4.04253514462,2.96204807752,4.06500846067,3.0503773963,3.93775725552,2.86706409018,3.92338347006,2.96514593157,3.96153825057,2.84530538113,3.55151753989,3.02321526003,3.55024468004,3.29337633495,3.43605837773,3.27910694746,3.43178068123,3.09382472232,3.38236536764,3.14328267719,3.42803331801,3.15888130094,3.59609801089,2.69646137647,3.62882371877,3.2021796955,3.56453814728,3.5264937533,3.45511983979,3.56299245779,3.44299829918,3.54136173496,3.194274539,3.29028702404,3.13914594884,3.00169443673,3.20944932531,2.89061407274,3.24738051758,2.91867162726,3.41813045673,2.91673526957,3.46508003674,2.88949001424,3.48296905618,2.87282219161,3.47078199886,3.22420226195,3.3210508173,3.39674154262,3.32326162025,3.22437748558,3.29440546148,2.81741958312,3.41229912387,2.83137187008,3.51172370636,2.74119030601,0.0
1,14.7843227088,7.32805365215,13.1769570145,7.2365020681,11.6789238293,7.13790368025,10.2030226938,6.97213782632,8.50424187989,6.82445778835,7.67596844231,6.23191131695,7.43342123915,6.04002287517,7.40783720599,6.30184255724,7.36279884744,6.53590001472,7.16216837408,7.07178194492,6.83582751116,7.38621462833,6.53004244873,8.00150431934,6.31589047164,8.61294094112,6.59774533604,9.01594306033,7.36569037367,9.41541498168,8.44879352313,9.87715193771,9.87552424568,10.2831558777,16.1137540393,7.48172876347,16.3321557354,7.70226456067,16.4031403093,7.98299800891,16.0940748686,8.4041293803,15.610684442,8.60045957125,14.7410750289,9.91233032377,14.7131400364,10.4078564845,14.446657927,10.8418741457,13.8468789465,11.2215650197,13.0485076031,11.3649629815,13.8605767368,9.45682236117,13.1737118487,9.72795713597,12.6102633153,9.97567459958,11.7621759213,9.90299997961,10.9557316147,8.18212343951,10.9458143487,8.68781750755,10.90303721,9.01203387549,10.7798201516,9.15771608466,10.4751336765,9.156162728,14.5312421,7.36829901145,14.7755226651,7.68240940117,14.5941388967,7.88634405943,13.9889519066,7.91724394314,14.0255230099,7.83305854661,14.1912012141,7.60772705488,12.8681407843,9.21649485183,12.8645320354,9.9171520414,12.5216723805,10.3774679737,12.0628125463,10.4308701654,12.0464629991,10.2190024134,12.458934903,9.73309214519,9.34571483704,7.23724639509,9.91031775147,7.9133450694,10.1520148138,8.45882911061,10.138630594,8.73311571355,10.2615143032,8.95220102911,9.9740461088,8.94722302786,9.2997834595,8.74118502064,9.21929796978,8.33907182809,9.03827010897,8.21882915825,8.9961680891,7.9935622453,9.03179585276,7.57460925859,9.01832944416,7.25694324266,9.48766098251,7.94564423191,9.64309799905,8.3144929732,9.84482054318,8.54256868536,9.51830831841,8.20502691125,9.24189873231,7.90074566526,9.18852350498,7.45035565253,0.0
1,9.2409029943,8.85778516652,8.85766485982,8.808370041,8.5554706727,8.72163530659,8.33175603146,8.67294349394,8.54909097634,7.92857609162,8.7890402961,7.65265222678,8.98684745114,7.55922904363,9.08508609914,7.16502588327,9.21142679674,6.54787601493,9.30129380765,5.7662628167,9.02114594543,5.18597031905,8.98836512317,5.01255882265,9.37539996305,4.88368545585,10.0112042944,4.74992708698,10.6818878504,4.53549983335,11.4410718234,4.28268983526,12.1750517066,4.04972292317,12.9212811107,9.9319294453,13.8315742675,9.90713487332,14.6232452259,9.64539653614,15.1914185854,9.14825322586,15.3177902244,8.59662496474,16.2675048349,7.18154545035,16.6403714137,6.82443331168,16.7600919452,6.31639499199,16.5878014732,5.77896352622,16.0879668354,5.15914668757,15.0630388921,7.78474802356,15.0080541037,8.08461749672,14.9701464787,8.49667704968,14.3561002002,8.34364238726,12.1234063735,8.31834116029,12.8152988283,8.1515379121,13.0195767083,7.77521473622,13.3350009614,7.47248433691,13.0661475357,7.11918987316,12.5485247398,9.11508777985,13.2647318736,9.04111099255,13.5243615245,8.45836299282,13.4184569609,7.68782986595,13.0756862932,8.23824694352,12.7116858253,8.71437455906,14.401101715,6.45021593379,15.0240358719,6.3154838883,15.1022657695,5.95378621824,14.6541254604,5.36053114137,14.6791342421,5.83131739615,14.6489323535,6.11243753204,9.92042078281,8.35247588248,11.2959113381,8.40010757857,12.0837867746,8.36996212564,12.4322889016,8.3407298803,12.7681635996,7.97601370008,12.9390827958,7.53129305674,12.7313543183,6.82312151528,12.8029195306,6.34810052076,12.4514402047,6.13460826662,11.8763880599,6.25740822668,11.0968187418,6.7051531887,10.5746645059,7.26422524822,11.1438704341,7.92034620821,11.8390924112,7.83338321437,12.5556561469,7.62444357396,13.0199041015,6.35957233411,12.0878603684,6.42087388783,11.2174697817,6.72780997874,1.0
1,77.08143026,50.0514685829,78.9705962992,57.1762287572,81.1979643351,63.4720876633,83.6583803378,69.8271882689,87.8061664567,76.0819400634,93.3449552252,79.7789036178,98.3132289958,81.6123225124,8.41134736686,5.46606309291,8.8798756546,5.60724677946,9.18550099202,5.720185598,8.6864433651,5.68384994409,8.13675376349,5.68269903282,7.81296830061,5.41680976836,7.83875904663,4.7916494925,7.81592509018,4.59643895905,7.83735013156,4.5423218439,7.85574363895,4.43323637735,8.58777707283,3.92734733435,9.10482802178,4.0680166874,9.56407118837,4.12263173503,10.0645385954,4.21433487238,10.329008335,4.37822741498,11.1438559294,4.4123972017,11.2809697556,4.45105904314,11.270392474,4.34020861311,10.9899407253,4.32524926168,10.5621713266,4.27505307933,10.4938455824,4.69609911788,10.8495800702,4.96819650925,11.33620369,5.34747424509,11.2537908439,5.51210326145,9.38228932836,4.78005895806,9.98347258075,4.91201900271,10.3064000715,5.05669521494,10.3312368397,5.07376775839,10.1461374254,4.84289363463,8.54997699961,4.20832387137,8.97850152511,4.39768341698,9.08253954766,4.35577970673,9.01683214758,4.17779350204,8.93129854959,4.31616610435,8.75499954252,4.35630623459,9.85341079948,4.29916743554,10.233902271,4.54478974535,10.4326798426,4.59139084164,10.0686397267,4.3778199494,10.1661026564,4.49917876752,10.0477030744,4.48325309054,8.15530529271,4.64186287256,9.31991718145,4.85149843214,9.79308527473,5.01819658601,10.002573573,5.17743279991,10.1211317978,5.14728699129,9.90289242027,4.97861550035,9.31285980772,4.89059719019,9.5060025388,4.99168523734,9.64257604849,5.26481857664,9.59765693742,5.45378756872,9.35600493835,5.38432870307,8.93278217297,4.93892360346,9.31980780559,4.81478214265,9.60172746095,4.90331251975,9.51316665413,4.93369216537,9.32685081415,5.10150118153,9.34885668436,5.30500247956,9.12657808025,5.20986674675,1.0
1,77.4729827944,51.5722182351,80.0095339664,58.4791741889,82.8080834139,64.6514331458,85.8015641373,70.9757180489,90.2254433662,77.0624332513,96.1376952941,80.5946462055,101.569367116,82.4781434329,12.5732090409,3.68932393686,13.4162959492,3.577750732,13.8794141857,3.57081933886,13.3624681686,3.71022448994,12.2998083434,4.47968386916,11.4082052553,5.05272501033,10.7578451017,4.10997468263,10.3649617671,3.74426488373,10.1028494776,3.35399004907,9.81740196699,2.83054977204,9.6914872401,5.109609389,9.95160964541,4.98857553675,10.1993640501,4.67534585446,10.6393230609,4.43149389463,10.9534916341,4.02320595871,11.6985407575,3.3789669157,11.6862127127,3.24453802983,11.6694333914,2.9987484877,11.4730392935,2.6505707924,11.1657590057,2.48085764498,11.6266366022,3.83656346477,12.2409493439,3.92248465719,12.8521857549,4.12401594414,12.9987294366,4.18760504776,11.6552711399,4.03903624814,12.1469357473,3.89867922503,12.4485728888,3.89829407519,12.3751421868,3.72295049126,12.1666358139,3.4841985649,10.0220477669,4.47700162425,10.2794292967,4.32275215415,10.6213847409,4.10723378558,10.5824377148,3.62486408568,10.4701061658,4.01012232745,10.4658030286,4.19959958051,10.9734870218,2.93242205337,11.0831555225,2.88805139166,11.2635637286,2.82071913817,11.0689892277,2.5456787858,11.3496173422,2.7339485135,11.1030526333,2.79343933231,11.5003590491,3.96095811505,12.2238259936,4.09918324832,12.3710768951,4.20674419197,12.3187764105,4.09240122028,12.3375327645,3.98646358216,11.9750115199,4.0106839299,11.5037531413,3.78554227692,11.7885524968,3.5327723505,12.3088995856,3.67259962261,12.4655079675,3.74045331357,12.3390539448,3.66379904245,12.258783699,3.74606901071,12.2369008226,3.88014890894,12.0730384849,3.96361075412,11.9716883238,3.99755931544,11.6007792013,3.41894562536,11.9848502968,3.57460176492,12.1644759227,3.58655313126,0.0
2,6.32110075064,5.58133906475,5.73292766633,5.32234245352,5.50993831997,4.99823985582,5.39006447374,4.64124992089,6.38756880172,3.98236277234,8.02563181597,3.39360621566,9.63861497056,3.15457536852,10.752206187,3.17456245661,11.4216114936,3.16489544014,10.922700354,3.3195574551,9.868923557,3.45212749837,8.67236633729,3.81139188152,7.27184365515,4.58300488189,6.34096739424,5.8242194405,6.29352751744,6.23290207873,6.78112408767,6.49006247837,7.33498946103,6.71273934882,9.59619489807,4.91955997965,10.6249442819,5.06375502042,11.3711068236,5.05229382339,12.1649208878,5.03371654719,12.459134027,4.80682744251,13.2061532807,4.87145316108,13.2395120412,5.15757899775,12.9121013103,5.2667164607,12.3118216516,5.38043384152,11.5411317715,5.43337207368,13.2374476658,5.18070956075,14.4258581382,5.48223179229,15.371648501,5.86079015864,15.5700248194,5.7974078594,12.286908315,5.3853570349,13.1583444622,5.48291152952,13.6266697459,5.44783277897,13.4976495155,5.53702014919,12.6673395266,5.41046069075,9.56403719427,4.76497313152,10.516436903,4.5806551558,10.909765413,4.54460296935,10.7156065438,4.51060402322,10.7717232003,4.59101652276,10.172477381,4.67540589573,11.2382443756,4.52780688598,11.7616423974,4.54205105027,11.9654523395,4.80486727001,11.2155984251,5.062855437,11.5712304765,4.88901671832,11.638125396,4.70779715337,11.884023759,5.71076496092,13.2882052029,6.19658959165,13.9124815492,6.44808861531,13.99725646,6.59637895522,13.8245438414,6.58664185543,13.2116784401,6.38995070242,11.8325182701,5.78011512419,12.831936414,5.05475198188,13.005819688,4.9218320412,13.1721284895,5.02045505349,13.105686026,4.9306788785,12.8918819851,5.10934271925,13.135233859,6.06706821869,13.2616291402,6.09626026626,12.9495677282,6.09797509072,12.8239311098,4.77172486404,12.9738150047,4.7228794249,12.9634379945,4.76375636879,0.0
2,44.9745946042,26.0530756285,44.8207338027,28.5551160626,44.7660730084,30.7902746103,44.7295483007,33.050845706,45.082244988,35.0787455609,45.9688099951,36.8506991867,46.8294891877,38.0379920167,10.9164436817,32.3982516466,10.2426838984,32.5217770301,8.70752406389,31.898024391,7.22450539905,30.765552371,6.1166827027,29.5050156066,5.61663008307,27.6592281611,6.26107479426,26.0210549296,6.746435713,24.237851452,7.51898498038,22.4885073142,8.43030457651,20.5407894335,20.7879804036,20.8665461854,21.5897098155,20.8364666661,21.8706699592,21.1728630388,21.8052215095,21.7599295918,21.1054261489,22.0740421593,19.1139310956,21.8803135229,18.4771224506,21.257027593,17.270797167,20.6566099509,15.8992032851,20.0935093671,14.1596217593,19.7595073727,19.4973453253,24.988889423,20.1951015573,27.1258903042,20.7694071321,28.9600721932,20.1548237717,30.2136370872,16.2769851867,29.8733794776,17.2008338141,30.243809517,17.4504502482,30.3746746125,17.2291137882,30.0218340052,16.0542228979,29.3727893135,18.9182249747,23.8506442574,19.6558342837,23.5202278121,19.1452715274,23.6115461508,17.9452588425,24.0098050868,18.5010670763,24.8780007963,18.9278067507,24.971290213,16.0342117345,23.3512896047,16.2396762831,22.6928191793,15.5870192913,22.3693714241,14.1082727771,22.4420103999,14.764051046,23.7468743691,15.6558200153,24.0374353067,13.8615531489,32.291760781,15.4152319867,32.5356786894,16.5810298924,32.3437598527,17.0000345614,32.3499083266,17.2214579347,32.1228665384,17.0817967171,31.9561198485,15.5621928046,31.0499228434,16.1104297257,31.9077262818,15.5041274214,32.2620066647,14.8849840345,32.6254723392,14.20422431,32.6352091194,14.0218479851,32.5368524677,14.6866106876,32.5968528828,15.8686070892,32.4887741618,16.9745870051,32.2307357816,16.8226073338,31.1754426691,15.2651496671,31.3669452233,14.1664749647,31.4907723414,0.0
2,177.976885563,48.6561720332,178.014690765,56.1008192728,178.646556943,62.8661378013,179.44472758,69.8966086261,182.116270271,79.1185413778,186.535423184,85.4014314118,190.162272135,89.6171200448,6.18745629355,10.2980891929,6.6121488807,10.1893609674,6.41612551831,10.1192885125,5.48184649782,10.4709610658,6.57457222943,13.3666011252,11.0369716675,16.5597403361,14.8978573576,18.6105670287,15.5319356695,19.1484752021,15.5563285827,18.8858921705,15.4251709046,18.5534397944,5.62953520876,12.81963138,6.15978479478,13.0289618218,6.92408468449,13.1626657342,7.54881549547,13.2137263519,7.90504545147,13.0387735384,8.1735972685,12.5644747459,8.51785455111,12.6389710714,8.61290028283,12.2421874616,8.56045619441,11.8645129132,8.38359203353,11.7869712949,8.1011236954,13.6547164764,8.88256719648,14.4017226534,9.82667092857,15.2970375882,10.0275262179,15.677519427,6.96690896401,15.9518305356,8.09415743703,15.5938844028,8.52973682222,15.43024004,8.85075688492,15.5001861031,9.54607584836,15.3522736978,6.0455005519,13.1986547489,6.69361540421,12.8577024705,7.17183772894,12.8559823449,7.17612673187,12.9563121929,6.94552982971,13.0819654683,6.27796308629,13.3742001918,7.54707448839,12.7137871862,7.90159834529,12.0764392358,8.03418178305,12.0059814153,7.50572431121,12.0225216008,7.83466982598,12.4380516242,7.77467123553,12.5570493023,7.50687718883,15.9758632045,8.38340087652,17.0845371683,8.63742601735,17.5658285695,8.6305584096,17.6771437245,8.56853965357,17.1909338062,8.41000625019,16.4519307572,7.84203008777,14.8410380451,8.3324743147,14.0095205723,8.43132133697,14.4264491784,8.12466961853,14.5916862525,8.14468522632,14.4029688891,8.16806633741,14.6827781553,8.17187170601,17.0198790258,8.13346206287,16.9738675465,8.10887453065,16.4729576377,8.04693762423,13.9134458118,8.02524063063,13.9912060293,8.169831935,14.2591401186,-1.0
2,2.86300690021,8.09843584407,2.75475089296,7.4799969659,2.74411039209,7.0979719409,2.88790274585,6.99848007815,2.93154765119,8.50906900425,3.51289418171,10.9657752553,3.83797514211,14.9841523849,3.98133945172,16.6141948836,4.23505926173,16.8165819677,4.69150242838,16.4391069584,4.46851673869,13.7468887518,4.29724470524,9.50699630395,4.77466533676,7.20959639244,5.22660270984,6.73300329224,4.90747728811,6.67468489441,4.51769570335,7.07254079757,4.13598633686,7.6917566633,4.15517920003,6.87421820184,4.34662786064,7.10895449715,4.7998503966,7.52863917328,5.0948016199,8.0264412329,5.23994308615,8.13774913554,5.07911695849,8.40550309437,5.29552199424,8.41688610064,5.10106198093,8.08660458777,5.03533612871,7.79863485963,4.81722677055,7.24201688141,5.06762775506,8.96305953178,5.23588104855,10.2955440337,5.42841061859,11.8138637154,5.51975016137,12.4698039535,3.99112490586,10.8263002266,4.84804559583,11.1430893255,5.37725707187,11.3839932106,5.72380713207,11.2519304884,7.09159926546,11.0260008632,4.47684151262,6.56308043701,5.00620182749,6.88803567507,5.25113969392,7.04380921284,4.86119385272,7.15305692723,4.85681505539,7.19408617453,4.40904936603,6.94953950207,4.82894457141,7.40324708327,4.8179628431,7.42432268802,4.72206229739,7.48319630575,4.39611167651,7.12573873239,4.6858300808,7.63240107039,4.6045286835,7.68702969501,4.39999194068,12.0688773885,5.19205612532,12.2928040705,5.44410671023,12.2229401519,5.46685694185,12.5746000881,5.60011239755,12.5447956206,5.88045808029,12.7279220614,6.90243558617,12.2386870616,6.89353561921,13.7502901323,6.11760481336,15.6339867773,5.65681507012,16.0088074163,5.21654317485,15.097892742,4.68090848611,13.6442743817,4.79731012101,12.1126509096,5.25683445722,11.9778163747,5.8681962263,12.0653510117,6.30345931142,14.3813314764,5.41798947296,15.3469912961,5.00208289949,14.4170253717,0.0
