video no,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y,18x,18y,19x,19y,20x,20y,21x,21y,22x,22y,23x,23y,24x,24y,25x,25y,26x,26y,27x,27y,28x,28y,29x,29y,30x,30y,31x,31y,32x,32y,33x,33y,34x,34y,35x,35y,36x,36y,37x,37y,38x,38y,39x,39y,40x,40y,41x,41y,42x,42y,43x,43y,44x,44y,45x,45y,46x,46y,47x,47y,48x,48y,49x,49y,50x,50y,51x,51y,52x,52y,53x,53y,54x,54y,55x,55y,56x,56y,57x,57y,58x,58y,59x,59y,60x,60y,61x,61y,62x,62y,63x,63y,64x,64y,65x,65y,polarity
1,211.442477876,84.2743362832,209.654867257,99.6548672566,209.238938053,113.946902655,209.03539823,128.840707965,211.469026549,145.424778761,219.088495575,159.539823009,227.185840708,169.486725664,234.619469027,175.530973451,246.610619469,179.548672566,259.699115044,179.734513274,269.539823009,176.362831858,281.522123894,169.902654867,294.601769912,159.761061947,302.752212389,146.716814159,308.256637168,132.778761062,313.212389381,119.371681416,317.150442478,104.14159292,225.07079646,69.3628318584,231.115044248,65.982300885,237.920353982,64.8053097345,246.10619469,67.2123893805,252.743362832,71.2831858407,276.353982301,75.6194690265,284.061946903,73.9734513274,293.008849558,74.8495575221,299.920353982,78.1061946903,305.061946903,83.3982300885,262.389380531,87.7079646018,260.522123894,96.389380531,258.637168142,104.628318584,256.761061947,114.495575221,246.053097345,119.637168142,250.92920354,120.185840708,255.796460177,122.017699115,261.03539823,121.96460177,266.079646018,123.247787611,232.17699115,83.0265486726,236.814159292,81.1150442478,244.318584071,81.8495575221,250.778761062,86.1061946903,243.530973451,87.4867256637,236.513274336,86.6725663717,274.407079646,90.6460176991,282.044247788,88.9292035398,289.610619469,90.9911504425,294.353982301,94.6017699115,288.159292035,96.2566371681,280.85840708,94.4778761062,232.522123894,136.044247788,241.513274336,132.769911504,248.17699115,131.168141593,253.504424779,133.079646018,259.345132743,133.292035398,265.522123894,137.17699115,274.026548673,143.345132743,263.451327434,147.203539823,258.008849558,147.584070796,251.274336283,146.743362832,244.82300885,145.14159292,240.327433628,142.89380531,246.82300885,136.796460177,252.752212389,138.353982301,259.292035398,139.247787611,259.230088496,140.557522124,252.557522124,140.07079646,246.469026549,138.345132743,0.0
1,200.05,77.7666666667,198.966666667,93.0833333333,199.2,107.0,199.416666667,121.6,201.95,137.566666667,209.216666667,149.9,217.1,158.4,227.95,166.0,240.033333333,169.316666667,253.133333333,169.05,263.4,165.7,275.883333333,159.166666667,289.55,149.483333333,298.766666667,135.383333333,303.933333333,121.1,308.283333333,107.183333333,311.683333333,91.8,213.433333333,60.1666666667,218.6,56.2833333333,224.983333333,54.3666666667,232.8,55.8666666667,239.433333333,59.2666666667,263.55,62.1333333333,271.233333333,60.1166666667,280.483333333,60.7666666667,287.983333333,63.8666666667,294.15,68.9833333333,249.766666667,73.85,247.733333333,82.0666666667,245.633333333,90.05,244.116666667,99.8833333333,235.3,107.05,239.766666667,106.966666667,244.45,108.533333333,249.9,108.166666667,255.633333333,109.466666667,220.8,72.8,224.783333333,70.15,232.133333333,70.1833333333,239.05,74.1833333333,231.783333333,75.7666666667,224.966666667,75.65,263.716666667,77.25,271.15,74.9666666667,279.083333333,76.6,284.45,80.2333333333,278.016666667,81.8666666667,270.333333333,80.4333333333,222.816666667,125.016666667,230.866666667,120.183333333,237.35,117.933333333,242.833333333,119.5,248.9,119.366666667,256.0,123.233333333,265.9,129.8,254.733333333,134.483333333,248.616666667,135.3,241.333333333,134.966666667,234.6,133.7,230.266666667,131.533333333,236.566666667,124.333333333,242.766666667,125.233333333,249.8,125.9,249.833333333,128.166666667,242.483333333,127.983333333,236.2,126.666666667,0.0
1,208.947761194,81.2089552239,207.634328358,96.6417910448,207.686567164,110.858208955,207.940298507,125.71641791,211.126865672,142.402985075,219.410447761,155.776119403,227.850746269,165.119402985,235.350746269,170.73880597,247.604477612,174.507462687,260.694029851,174.373134328,270.432835821,171.014925373,282.462686567,164.679104478,295.47761194,154.858208955,304.059701493,140.320895522,309.179104478,126.305970149,313.611940299,112.544776119,317.194029851,97.2611940299,222.73880597,65.1268656716,228.731343284,61.6567164179,235.529850746,60.2611940299,243.798507463,62.1567164179,250.455223881,65.9552238806,274.641791045,69.3880597015,282.253731343,67.5597014925,291.335820896,68.2910447761,298.432835821,71.2313432836,303.828358209,76.4179104478,260.746268657,81.1641791045,259.156716418,89.6567164179,257.492537313,97.7462686567,255.835820896,107.544776119,245.044776119,112.985074627,250.126865672,113.417910448,255.104477612,115.231343284,260.679104478,114.970149254,266.029850746,116.082089552,229.970149254,78.0373134328,234.604477612,75.8656716418,242.059701493,76.2611940299,248.753731343,80.3582089552,241.552238806,81.6940298507,234.567164179,81.1567164179,273.373134328,84.0597014925,281.007462687,81.8955223881,288.746268657,83.8507462687,293.559701493,87.3582089552,287.417910448,88.9104477612,279.97761194,87.5,231.104477612,129.597014925,240.350746269,125.582089552,247.47761194,123.835820896,253.462686567,125.671641791,259.78358209,125.753731343,266.828358209,129.559701493,276.052238806,136.141791045,265.067164179,141.313432836,258.962686567,142.604477612,251.231343284,142.141791045,243.925373134,140.313432836,239.089552239,137.343283582,245.880597015,129.78358209,252.865671642,131.067164179,260.410447761,132.097014925,260.201492537,135.335820896,252.335820896,135.082089552,245.171641791,133.104477612,0.0
1,162.420289855,108.260869565,167.202898551,123.362318841,172.666666667,136.811594203,178.608695652,150.434782609,188.173913043,163.927536232,200.753623188,172.101449275,211.826086957,176.347826087,220.927536232,178.565217391,234.130434783,176.913043478,246.565217391,171.68115942,255.173913043,164.753623188,264.942028986,154.811594203,274.884057971,141.130434783,278.507246377,124.376811594,278.014492754,109.246376812,276.550724638,94.4782608696,273.724637681,78.5217391304,165.84057971,85.7826086957,169.84057971,80.231884058,175.449275362,76.231884058,183.68115942,74.5652173913,191.463768116,75.3333333333,216.565217391,68.5507246377,223.333333333,63.5652173913,232.507246377,60.3188405797,240.811594203,60.4347826087,248.637681159,62.9710144928,207.043478261,84.4347826087,208.391304348,92.8550724638,209.536231884,101.202898551,211.927536232,110.826086957,205.608695652,121.507246377,210.057971014,119.608695652,215.405797101,119.043478261,220.826086957,116.68115942,227.15942029,115.608695652,177.652173913,94.7246376812,180.579710145,90.6086956522,187.724637681,87.6811594203,196.217391304,88.9855072464,189.623188406,93.115942029,182.826086957,95.6376811594,222.072463768,82.2028985507,228.449275362,76.7101449275,236.666666667,75.3913043478,243.144927536,77.0,237.608695652,80.768115942,229.623188406,82.3043478261,201.376811594,143.362318841,207.405797101,135.623188406,212.47826087,131.130434783,218.376811594,130.304347826,224.057971014,127.971014493,231.855072464,129.014492754,243.362318841,131.782608696,234.710144928,139.898550725,229.695652174,142.884057971,222.739130435,145.188405797,215.913043478,146.47826087,211.0,146.231884058,214.405797101,137.275362319,220.463768116,135.695652174,226.869565217,134.014492754,227.47826087,135.710144928,221.173913043,138.086956522,214.811594203,139.173913043,1.0
1,52.5412844037,34.2110091743,53.8440366972,39.0917431193,55.3853211009,43.4036697248,57.0825688073,47.752293578,59.9449541284,52.0366972477,63.752293578,54.5688073394,67.1651376147,55.8256880734,212.908256881,180.256880734,224.394495413,179.146788991,236.183486239,174.614678899,245.541284404,168.458715596,256.816513761,158.853211009,268.422018349,144.972477064,273.28440367,126.055045872,273.623853211,110.724770642,273.23853211,95.8165137615,271.449541284,79.5779816514,164.009174312,84.7614678899,166.449541284,79.2293577982,171.027522936,75.376146789,177.963302752,74.2110091743,185.155963303,75.4036697248,208.605504587,69.1100917431,215.330275229,64.1743119266,224.844036697,61.3394495413,233.669724771,61.6605504587,242.412844037,64.6146788991,199.357798165,85.6788990826,199.357798165,94.3211009174,199.165137615,102.752293578,200.981651376,112.688073394,197.80733945,122.174311927,201.183486239,120.614678899,206.018348624,120.376146789,211.366972477,118.082568807,218.018348624,117.009174312,174.834862385,94.8899082569,176.917431193,91.1100917431,183.52293578,88.5412844037,191.651376147,89.8348623853,185.19266055,94.0183486239,179.128440367,96.2018348624,215.825688073,83.7889908257,221.467889908,78.6513761468,229.256880734,77.5688073394,236.04587156,78.9633027523,230.321100917,82.871559633,222.733944954,84.3486238532,194.449541284,143.458715596,198.550458716,136.0,203.174311927,131.825688073,208.798165138,131.165137615,214.513761468,128.926605505,223.229357798,129.80733945,236.04587156,132.467889908,226.633027523,141.165137615,220.678899083,144.623853211,213.412844037,147.183486239,206.678899083,148.165137615,202.385321101,147.339449541,205.348623853,137.944954128,211.440366972,136.422018349,218.605504587,134.559633028,219.862385321,137.431192661,212.633027523,140.119266055,206.23853211,141.073394495,1.0
1,103.216216216,68.972972973,106.594594595,78.2702702703,110.351351351,86.5675675676,114.378378378,95.0540540541,120.378378378,103.216216216,128.351351351,107.945945946,135.675675676,110.459459459,212.432432432,171.0,225.054054054,168.756756757,237.027027027,162.837837838,246.0,155.891891892,256.216216216,145.351351351,266.27027027,131.432432432,269.864864865,114.324324324,269.108108108,99.6216216216,267.648648649,84.972972973,264.702702703,69.3513513514,156.72972973,80.9459459459,159.513513514,74.9459459459,164.027027027,70.4054054054,171.162162162,68.027027027,178.486486486,68.3783783784,202.243243243,60.1621621622,208.648648649,55.027027027,217.864864865,51.7027027027,226.378378378,51.5945945946,234.783783784,53.8918918919,193.351351351,76.0540540541,194.216216216,84.0540540541,194.648648649,91.7837837838,197.243243243,101.27027027,193.648648649,112.72972973,197.297297297,110.459459459,202.243243243,109.567567568,207.459459459,106.972972973,214.027027027,105.837837838,168.054054054,89.1081081081,170.0,84.6216216216,176.72972973,81.2702702703,184.891891892,82.1621621622,178.648648649,86.4054054054,172.540540541,89.4054054054,209.837837838,73.8918918919,215.324324324,68.2162162162,223.486486486,66.3513513514,230.243243243,67.7297297297,224.72972973,71.5675675676,217.0,73.5945945946,191.27027027,135.243243243,195.459459459,126.594594595,199.891891892,121.567567568,205.432432432,120.405405405,211.297297297,117.675675676,219.648648649,118.567567568,232.324324324,121.054054054,223.405405405,129.72972973,218.135135135,132.891891892,211.0,135.810810811,204.432432432,137.513513514,200.0,137.540540541,202.621621622,128.0,208.27027027,125.891891892,215.108108108,123.72972973,216.243243243,126.243243243,209.594594595,129.0,203.432432432,130.567567568,0.0
2,552.014285714,201.328571429,555.214285714,231.614285714,560.4,259.214285714,565.928571429,287.628571429,577.157142857,319.714285714,594.771428571,343.071428571,610.9,357.928571429,625.114285714,366.742857143,647.442857143,369.571428571,670.642857143,365.228571429,687.1,355.285714286,707.085714286,339.771428571,728.3,315.442857143,740.771428571,283.185714286,745.414285714,254.385714286,748.757142857,226.628571429,750.228571429,195.8,564.0,171.971428571,572.257142857,164.442857143,583.728571429,160.842857143,599.014285714,162.771428571,612.757142857,168.285714286,658.942857143,166.328571429,672.928571429,159.671428571,690.128571429,157.028571429,704.685714286,159.514285714,717.071428571,166.585714286,636.957142857,200.028571429,635.842857143,219.214285714,634.871428571,237.642857143,635.457142857,257.114285714,620.4,267.571428571,629.4,267.9,638.771428571,269.728571429,648.757142857,267.328571429,660.271428571,266.271428571,581.085714286,197.928571429,587.885714286,192.785714286,602.385714286,191.885714286,616.957142857,198.271428571,603.642857143,204.228571429,589.642857143,204.9,663.142857143,196.857142857,676.2,189.085714286,691.757142857,189.414285714,702.514285714,194.071428571,691.928571429,201.557142857,676.657142857,201.842857143,605.757142857,303.285714286,619.342857143,294.471428571,629.471428571,289.242857143,639.3,290.771428571,649.571428571,288.914285714,662.271428571,293.542857143,681.385714286,300.157142857,663.671428571,312.985714286,654.328571429,317.914285714,641.728571429,319.571428571,629.742857143,318.5,621.271428571,314.442857143,630.242857143,299.728571429,640.685714286,299.771428571,651.7,299.214285714,652.442857143,302.314285714,641.357142857,304.314285714,630.5,303.271428571,0.0
2,574.567567568,155.140540541,575.627027027,180.886486486,578.491891892,204.340540541,581.589189189,228.540540541,589.935135135,257.881081081,603.605405405,278.664864865,616.205405405,292.740540541,630.897297297,302.805405405,649.778378378,306.675675676,669.145945946,304.102702703,682.8,296.437837838,699.124324324,283.843243243,716.951351351,264.243243243,728.994594595,236.237837838,734.297297297,212.178378378,738.772972973,188.972972973,741.87027027,163.264864865,592.081081081,136.540540541,599.627027027,130.837837838,609.464864865,128.281081081,622.243243243,130.194594595,633.210810811,135.156756757,671.194594595,136.043243243,682.859459459,131.827027027,696.8,131.010810811,708.189189189,133.891891892,717.254054054,140.086486486,651.583783784,163.967567568,650.016216216,180.551351351,648.551351351,196.518918919,647.978378378,213.016216216,632.367567568,219.254054054,641.108108108,220.405405405,649.216216216,222.508108108,657.994594595,221.162162162,668.167567568,220.610810811,604.945945946,158.194594595,611.037837838,154.632432432,623.135135135,154.924324324,634.459459459,160.913513514,623.372972973,164.940540541,611.681081081,164.535135135,672.443243243,162.264864865,683.918918919,156.718918919,696.616216216,157.762162162,705.010810811,161.827027027,695.967567568,167.681081081,683.572972973,167.12972973,616.902702703,246.691891892,629.967567568,240.016216216,639.664864865,236.545945946,648.513513514,238.302702703,657.827027027,237.443243243,668.583783784,241.864864865,684.054054054,248.389189189,668.643243243,260.016216216,660.259459459,264.735135135,648.340540541,265.659459459,637.108108108,263.772972973,629.702702703,258.767567568,638.648648649,245.07027027,648.762162162,245.848648649,659.162162162,246.075675676,659.464864865,250.578378378,648.751351351,252.12972973,638.210810811,250.102702703,0.0
2,527.15,139.25,527.275,162.075,529.15,182.55,531.5,203.95,539.35,232.5,552.35,251.325,563.05,263.95,636.15,302.725,654.15,307.85,672.25,305.9,684.725,299.0,700.825,288.725,720.325,271.675,734.95,241.825,741.3,218.95,746.725,196.7,750.75,172.025,605.525,139.625,613.825,133.7,624.425,132.225,637.7,135.25,648.65,140.875,686.25,143.075,698.1,139.0,711.65,138.225,722.725,140.95,730.65,147.875,665.25,174.6,663.35,191.775,661.525,207.725,660.25,223.9,642.775,226.525,652.15,229.1,660.25,231.6,669.35,230.275,679.275,229.0,617.625,165.525,624.375,162.75,636.725,164.175,647.875,170.325,636.375,174.125,624.35,172.95,684.375,172.725,696.225,167.575,708.625,168.6,716.35,172.35,707.45,178.75,695.375,178.25,622.825,248.05,638.225,244.375,649.4,242.575,659.225,244.675,669.375,244.4,680.8,247.275,697.2,252.0,680.425,266.2,670.3,272.925,656.8,274.175,643.85,271.125,635.725,263.175,646.2,249.375,658.725,251.125,671.3,251.225,671.375,258.425,657.825,260.7,644.85,256.9,-1.0
2,576.875,171.229166667,577.666666667,193.583333333,580.208333333,213.958333333,582.520833333,235.0,587.958333333,256.25,600.0,273.416666667,611.3125,284.166666667,621.25,290.395833333,638.354166667,293.729166667,656.770833333,291.395833333,671.229166667,285.541666667,687.708333333,275.0,704.604166667,259.645833333,715.208333333,240.666666667,721.458333333,220.041666667,726.625,200.020833333,730.5,177.833333333,585.604166667,139.645833333,592.145833333,132.375,601.0625,129.145833333,612.854166667,130.791666667,623.104166667,136.104166667,661.229166667,137.333333333,672.5,133.083333333,685.979166667,132.395833333,697.416666667,135.895833333,706.666666667,143.75,640.75,161.5625,638.770833333,173.791666667,636.645833333,185.416666667,635.479166667,199.3125,626.166666667,206.0625,630.833333333,207.541666667,637.25,209.645833333,644.4375,208.104166667,650.083333333,207.291666667,597.145833333,162.104166667,602.208333333,157.958333333,613.5,157.958333333,624.666666667,162.9375,614.166666667,166.104166667,603.583333333,166.458333333,661.854166667,164.520833333,672.75,160.666666667,684.5,161.541666667,693.3125,166.104166667,684.145833333,169.708333333,672.229166667,168.875,606.208333333,229.041666667,618.25,223.3125,627.75,220.5625,636.333333333,222.083333333,645.479166667,221.229166667,656.875,224.5,673.875,231.041666667,656.729166667,239.6875,647.020833333,241.5625,635.854166667,242.125,625.645833333,241.604166667,618.5625,238.4375,626.916666667,228.583333333,636.9375,229.75,648.229166667,229.708333333,648.270833333,231.833333333,636.916666667,232.041666667,626.479166667,231.020833333,0.0
