video no,0,1,2,3,4,5,6,polarity
1,0.48324742268,-0.365256267784,0.233616512887,98.8904639175,-35.2560876289,0.000184286875129,0.181019590593,0.0
1,0.513924050633,-0.369404776203,0.271326658228,83.2430379747,-36.0731139241,-0.00015024783038,0.148065554228,0.0
1,0.540782122905,-0.36491501676,0.194881602235,90.2234636872,-33.592375419,-0.000138346324469,0.129439547285,0.0
1,0.484716157205,-0.338989967686,0.181773901747,99.9585152838,-33.5398995633,0.000381960181223,0.145364193033,1.0
1,0.414600550964,-0.356679542011,0.240666224518,101.150137741,-36.6088168044,-0.000232929936777,0.158227462342,1.0
1,0.596,-0.378330512,0.257448476,98.44,-34.910584,0.000325135652,0.12811781008,0.0
2,0.66323024055,-0.305015418557,0.142017439863,123.199312715,-33.0545704467,-0.000534286003436,0.127668161065,0.0
2,0.603238866397,-0.297442780027,0.150708889609,121.887989204,-36.182242915,0.000293467139001,0.139273706991,0.0
2,0.275,-0.3423835,0.099188125,119.575,-51.10191875,-3.1854625e-06,0.32133562375,-1.0
2,0.5,-0.264934339691,0.176732883505,128.180412371,-34.1231030928,-0.00088291228866,0.170917543299,0.0
2,0.821892393321,-0.29866864564,0.145354035436,117.166975881,-30.7392207792,0.000185921118738,0.108328362523,1.0
2,0.596858638743,-0.30632395288,0.152120722513,130.811518325,-34.7350471204,0.000624835759162,0.124474813089,0.0
2,0.606557377049,-0.252418803279,0.1213665,118.254098361,-29.5252213115,-0.0015236792623,0.14886312541,1.0
2,0.57381370826,-0.303602203866,0.158622171265,128.542179262,-35.0153796134,1.90179753076e-05,0.130166958348,1.0
2,0.571125265393,-0.3121902569,0.133998791932,127.447983015,-37.0653397028,0.00028679593758,0.145256123928,-1.0
2,0.724890829694,-0.29978529476,0.168551840611,139.672489083,-31.3455720524,1.35286150655e-05,0.113853872598,0.0
2,0.610244988864,-0.317036424499,0.160779398664,133.309576837,-31.7230178174,-1.6389077951e-05,0.109788651024,1.0
3,0.36546184739,-0.264849807229,0.0653861,132.726907631,-20.8351955823,-0.000128569634538,0.276467901606,-1.0
